JOURNAL_ID,JOURNAL_TITLE,ARTICLE_ID,ARTICLE_TITLE,ARTICLE_ABSTRACT
1,Buletin Ekonomi Moneter dan Perbankan,1,Kinerja dan Fungsi Intermediasi Perbankan Pasca Krisis dan Era Otonomi Daerah : Overview ,"Kinerja perbankan saat ini, walaupun telah mulai membaik yang tercermin dari meningkatnya penghimpunan dana, membaiknya kecukupan modal dan menurunnya non-performing loans, masih ditandai dengan masih belum pulihnya fungsi intermediasi. Hal ini tidak terlepas dari permasalahan yang dihadapi baik oleh perbankan itu sendiri maupun kondisi sektor riil yang oleh perbankan masih dianggap mempunyai risiko yang tinggi. Di sisi perbankan, belum pulihnya fungsi intermediasi tidak terlepas dari konsolidasi yang dilakukan oleh perbankan dalam memenuhi berbagai ketentuan prudensial Bank Indonesia dan akibat masih lambatnya restrukturisasi kredit perbankan. Di sektor riil, lambatnya proses restrukturisasi perusahaan dan konsolidasi internal perusahaan dalam rangka mengurangi tingkat leverage, menyebabkan pertumbuhan perekonomian tidak dapat berlajan lebih cepat karena perusahaan yang masih dalam proses restrukturisasi memiliki kontribusi yang besar dalam perekonomian. Perkembangan tersebut telah menyebabkan penyaluran kredit baru belum optimal. Akibatnya, perbankan secara umum mengalami kelebihan likuiditas dan dana yang dimobilisasi dari masyarakat lebih banyak ditempatkan dalam bentuk surat-surat berharga yang risk-free seperti SBI dan obligasi pemerintah."
1,Buletin Ekonomi Moneter dan Perbankan,2,KAJIAN KINERJA INDUSTRI BPRS DI INDONESIA ,"Keberadaan bank syariah di Indonesia telah diakui secara formal dengan diberlakukannya Undang-undang No.7 tahun 1992 sebagaimana telah diubah dengan Undang-undang No.10 tahun 1998 tentang Perbankan. Dalam Undang-undang No.23 tahun 1999 tentang Bank Indonesia (BI), BI memiliki peran yang sangat strategis yaitu sebagai pengatur sekaligus pengawas bank, termasuk BPRS. Sebagai pelaksanaan salah satu fungsi pengawasan, Bank Indonesia telah menerapkan standar tingkat kesehatan berdasarkan CAMEL yang berlaku bagi bank umum syariah maupun BPRS. Penggunaan CAMEL yang lazim diterapkan terhadap bank umum (commercial bank) dalam menilai kinerja BPRS, tampaknya kurang sesuai mengingat terdapat kekhususan tujuan pendirian dan operasional BPRS.Tujuan pendirian BPRS adalah untuk melayani masyarakat ekonomi lemah dan pengusaha kecil baik di pedesaan maupun di perkotaan yang umumnya tidak terjangkau oleh bank umum. Sedangkan dari sisi operasional, berdasarkan undang-undang, terdapat beberapa pembatasan bagi BPRS seperti tidak diperkenankannya menerima simpanan berupa giro, ikut serta dalam lalu lintas pembayaran, melakukan kegiatan usaha dalam valuta asing dan penyertaan modal. Lebih jauh dilihat dari karakteristiknya yang relatif sama dengan lembaga keuangan mikro (LKM), terdapat pendapat yang menyatakan bahwa BPRS dapat dikategorikan sebagai salah satu jenis LKM. Beberapa ahli dalam bidang lembaga keuangan mikro telah mengungkapkan suatu kerangka pengukuran kinerja tersendiri bagi LKM, antara lain penggunaan metode Performance Indicators (PI). Kerangka pengukuran tersebut terdiri dari kumpulan rasio keuangan yang secara operasional sangat signifikan dalam menilai kinerja suatu LKM.Tujuan penelitian ini adalah untuk memberikan gambaran deskriptif yang komprehensif mengenai kinerja BPRS di Indonesia dengan menggunakan metode Performance Indicators (PI), guna pengembangan BPRS yang lebih sesuai dengan visi dan misi Bank Indonesia sebagai otoritas pengatur dan pengawas bank. Disamping itu, penggunaan PI sebagai alat ukur penilaian kinerja BPRS diharapkan akan memberikan wacana pemikiran atas adanya alternatif metode penilaian kinerja BPRS untuk penyempurnaan perangkat pengawasan BPRS."
1,Buletin Ekonomi Moneter dan Perbankan,3,"ANALISIS TRIWULANAN: Perkembangan Moneter, Perbankan dan Sistem Pembayaran, Triwulan II  2009 ","Perkembangan perekonomian global mengindikasikan proses pemulihan yang semakin menguat, walaupun masih terdapat sejumlah risiko. Di negara maju, berbagai indikator pemulihan ekonomi makro telah menunjukkan kecenderungan yang semakin membaik. Paket stimulus yang diluncurkan oleh pemerintah dan program stabilisasi sektor keuangan telah berhasil mendorong penguatan keyakinan masyarakat sehingga mampu mendorong konsumsi. Di samping itu, kondisi pasar kredit yang mulai membaik turut menopang kenaikan pengeluaran konsumsi masyarakat. Kendati demikian, masih tingginya angka pengangguran menjadi faktor risiko yang membayangi proses pemulihan ekonomi di kelompok negara tersebut. Di sisi lain, pemulihan ekonomi negara emerging markets, khususnya China, India dan Korea, semakin menunjukkan penguatan. Dengan dukungan stimulus fiskal dalam bentuk infrastruktur dan tingginya pertumbuhan kredit, kegiatan investasi di China yang telah berlangsung sejak awal tahun terus berlanjut. Geliat permintaan domestik di beberapa negara Asia tersebut pada gilirannya mendorong peningkatan kinerja perekonomian negara lainnya di kawasan. Namun demikian, membaiknya perekonomian di beberapa negara emerging markets diperkirakan belum mampu mengkompensasi perlambatan ekonomi negara maju. Dengan berbagai perkembangan tersebut, kontraksi ekonomi global diperkirakan masih berlanjut, meski dengan laju yang semakin melambat."
1,Buletin Ekonomi Moneter dan Perbankan,4,"ANALISIS TRIWULANAN: Perkembangan Moneter, Perbankan dan Sistem Pembayaran, Triwulan I - 2009 ","Terus memburuknya perekonomian global semakin dirasakan dampaknya pada perekonomian domestik selama triwulan I-2009. Hal tersebut mengakibatkan perekonomian Indonesia diperkirakan tumbuh lebih lambat dari perkiraan. Perlambatan tersebut selain disebabkan oleh kinerja ekspor yang turun, juga dikarenakan mulai melemahnya daya beli masyarakat. Meski demikian, berlangsungnya aktivitas ekonomi selama dilakukannya pesta demokrasi dalam rangka Pemilihan Umum, diperkirakan mampu menahan lebih jauh perlambatan ekonomi domestik. Ke depan, pada tahun 2009 perekonomian masih dihadapkan pada ketidakpastian pemulihan ekonomi global sehingga perekonomian Indonesia diperkirakan tumbuh lebih rendah dari yang diperkirakan pada awal tahun sebesar 4,0-5,0%. Dengan mempertimbangkan perkembangan dan prospek perekonomian tersebut, pada April 2009, Bank Indonesia kembali menurunkan BI Rate sebesar 25 bps menjadi 7,5%. Penurunan BI Rate ini adalah kali kelima sejak Desember 2008. Secara akumulatif (Des 08-April 09), BI Rate telah turun sebesar 175 bps."
1,Buletin Ekonomi Moneter dan Perbankan,5,"ANALISIS TRIWULANAN: Perkembangan Moneter, Perbankan dan Sistem Pembayaran, Triwulan I  2012 ","Pertumbuhan ekonomi Indonesia pada triwulan I - 2012 tumbuh sebesar 6,3% (yoy). Sumber utama pertumbuhan ekonomi berasal dari konsumsi rumah tangga yang masih kuat sejalan dengan optimisme konsumen yang tetap tinggi dan investasi (PMTB) yang didukung oleh iklim usaha yang kondusif dan potensi pendanaan yang meningkat. Sementara itu, kinerja ekspor tumbuh melambat akibat berlanjutnya pelemahan ekonomi global yang menyebabkan turunnya daya serap negara mitra dagang utama. Di tengah perlambatan kinerja ekspor, impor masih tumbuh tinggi dengan masih kuatnya permintaan domestik. Ke depan, prospek ekonomi Indonesia keseluruhan 2012 masih tetap kuat pada kisaran 6,3 - 6,7%, meskipun berbagai faktor risiko masih tetap perlu diwaspadai."
1,Buletin Ekonomi Moneter dan Perbankan,6,Dampak Perdagangan Internasional Indonesia terhadap Kesejahteraan Masyarakat: Aplikasi Structural Path Analysis ,"Paper ini mengevaluasi dampak perdagangan internasional Indonesia terhadap kesejahteraanmasyarakat, dengan memanfaatkan dua perangkat analisa yaitu Sistem Neraca Sosial Ekonomi 2008(SNSE 2008) dan Structural Path Analysis (SPA). Pada sisi ekspor, hasil simulasi menunjukkan bahwauntuk kelompok komoditi Pertanian, ekspor ke luar negeri mempengaruhi kesejahteraan masyarakatlebih melalui jalur tenaga kerja. Pada kelompok industri, jalur modal lebih dominan; ditunjukkan denganbesaran pengganda yang lebih besar relatif terhadap jalur tenaga kerja. Dari sisi impor, dampak terhadaptingkat kesejahteraan masyarakat disalurkan melalui dua jalur utama yakni jalur produksi dan jalurpenerimaan pajak. Faktor produksi yang terlibat dalam proses ini terdiri dari pekerja dengan pendapatanmenengah yang tinggal di perkotaan dan pengusaha berpendapatan menengah baik di pedesaan maupundi perkotaan."
1,Buletin Ekonomi Moneter dan Perbankan,7,"ANALISIS TRIWULANAN: Perkembangan Moneter, Perbankan dan Sistem Pembayaran, Triwulan I  2009 ","Terus memburuknya perekonomian global semakin dirasakan dampaknya pada perekonomian domestik selama triwulan I-2009. Hal tersebut mengakibatkan perekonomian Indonesia diperkirakan tumbuh lebih lambat dari perkiraan. Perlambatan tersebut selain disebabkan oleh kinerja ekspor yang turun, juga dikarenakan mulai melemahnya daya beli masyarakat. Meski demikian, berlangsungnya aktivitas ekonomi selama dilakukannya pesta demokrasi dalam rangka Pemilihan Umum, diperkirakan mampu menahan lebih jauh perlambatan ekonomi domestik. Ke depan, pada tahun 2009 perekonomian masih dihadapkan pada ketidakpastian pemulihan ekonomi global sehingga perekonomian Indonesia diperkirakan tumbuh lebih rendah dari yang diperkirakan pada awal tahun sebesar 4,0-5,0%. Dengan mempertimbangkan perkembangan dan prospek perekonomian tersebut, pada April 2009, Bank Indonesia kembali menurunkan BI Rate sebesar 25 bps menjadi 7,5%. Penurunan BI Rate ini adalah kali kelima sejak Desember 2008. Secara akumulatif (Des 08-April 09), BI Rate telah turun sebesar 175 bps."
1,Buletin Ekonomi Moneter dan Perbankan,8,"ANALISA TRIWULANAN: Perkembangan Moneter, Perbankan dan Sistem Pembayaran ","Selama triwulan II-2005, kinerja perekonomian Indonesia menunjukkan perkembangan yang membaik. Kestabilan makroekonomi tetap terjaga meskipun terdapat tekanan depresiasi terhadap nilai tukar dan inflasi yang cenderung meningkat. Kegiatan ekonomi meningkat lebih tinggi dibandingkan triwulan yang sama tahun sebelumnya dengan pola ekspansi yang lebih berimbang, ditandai dengan peran investasi yang semakin meningkat. Laju inflasi dalam triwulan II-2005 menunjukkan peningkatan, terutama didorong oleh kenaikan BBM."
1,Buletin Ekonomi Moneter dan Perbankan,9,"Perkembangan Moneter, Perbankan Dan Sistem Pembayaran Triwulan IV  2004 ","Sampai dengan triwulan IV-2004, perekonomian Indonesia menunjukkan perkembangan yang semakin baik. Kestabilan ekonomi makro dapat dipertahankan yang disertai dengan peningkatan pertumbuhan ekonomi. Laju inflasi tetap dapat dikendalikan dalam tingkat yang rendah dan tetap sesuai dengan proyeksi yang telah ditetapkan pada awal tahun. Nilai tukar rupiah relatif stabil dengan volatilitas yang rendah. Seiring dengan itu, suku bunga di dalam negeri tetap stabil pada tingkat yang relatif rendah sehingga kondusif bagi perkembangan dunia usaha. Sektor keuangan, khususnya perbankan dan pasar modal, juga menunjukkan perkembangan yang semakin mantap. Sementara itu, sejalan dengan meningkatnya kegiatan investasi serta tetap tingginya konsumsi, pertumbuhan ekonomi dalam triwulan IV-2004 diperkirakan mencapai 5,0%-5,5% (yoy)."
1,Buletin Ekonomi Moneter dan Perbankan,10,Komposisi Kepemilikan Asset dan Dampak Kebijakan Moneter Terhadap Kepemilikan Asset : Hasil Survei ,"Sebagaimana diamanatkan oleh UU No.23/1999 tentang Bank Indonesia, tujuan Bank Indonesia adalah mencapai dan memelihara kestabilan nilai Rupiah. Dalam pelaksanaannya, kestabilan nilai Rupiah diterjemahkan dalam suatu tingkat inflasi yang rendah dan tidak berfluktuasi. Sehubungan dengan hal tersebut, dalam memformulasikan kebijakan moneter, Bank Indonesia memerlukan berbagai informasi yang berkaitan baik dengan pembentukan proyeksi variabel-variabel ekonomi maupun dengan proses transmisi kebijakan moneter dalam mempengaruhi perkembangan sektor riil."
