JOURNAL_ID,JOURNAL_TITLE,ARTICLE_ID,ARTICLE_TITLE,ARTICLE_ABSTRACT
1,Buletin Ekonomi Moneter dan Perbankan,1,Kinerja dan Fungsi Intermediasi Perbankan Pasca Krisis dan Era Otonomi Daerah : Overview ,"Kinerja perbankan saat ini, walaupun telah mulai membaik yang tercermin dari meningkatnya penghimpunan dana, membaiknya kecukupan modal dan menurunnya non-performing loans, masih ditandai dengan masih belum pulihnya fungsi intermediasi. Hal ini tidak terlepas dari permasalahan yang dihadapi baik oleh perbankan itu sendiri maupun kondisi sektor riil yang oleh perbankan masih dianggap mempunyai risiko yang tinggi. Di sisi perbankan, belum pulihnya fungsi intermediasi tidak terlepas dari konsolidasi yang dilakukan oleh perbankan dalam memenuhi berbagai ketentuan prudensial Bank Indonesia dan akibat masih lambatnya restrukturisasi kredit perbankan. Di sektor riil, lambatnya proses restrukturisasi perusahaan dan konsolidasi internal perusahaan dalam rangka mengurangi tingkat leverage, menyebabkan pertumbuhan perekonomian tidak dapat berlajan lebih cepat karena perusahaan yang masih dalam proses restrukturisasi memiliki kontribusi yang besar dalam perekonomian. Perkembangan tersebut telah menyebabkan penyaluran kredit baru belum optimal. Akibatnya, perbankan secara umum mengalami kelebihan likuiditas dan dana yang dimobilisasi dari masyarakat lebih banyak ditempatkan dalam bentuk surat-surat berharga yang risk-free seperti SBI dan obligasi pemerintah."
1,Buletin Ekonomi Moneter dan Perbankan,5,"ANALISIS TRIWULANAN: Perkembangan Moneter, Perbankan dan Sistem Pembayaran, Triwulan I  2012 ","Pertumbuhan ekonomi Indonesia pada triwulan I - 2012 tumbuh sebesar 6,3% (yoy). Sumber utama pertumbuhan ekonomi berasal dari konsumsi rumah tangga yang masih kuat sejalan dengan optimisme konsumen yang tetap tinggi dan investasi (PMTB) yang didukung oleh iklim usaha yang kondusif dan potensi pendanaan yang meningkat. Sementara itu, kinerja ekspor tumbuh melambat akibat berlanjutnya pelemahan ekonomi global yang menyebabkan turunnya daya serap negara mitra dagang utama. Di tengah perlambatan kinerja ekspor, impor masih tumbuh tinggi dengan masih kuatnya permintaan domestik. Ke depan, prospek ekonomi Indonesia keseluruhan 2012 masih tetap kuat pada kisaran 6,3 - 6,7%, meskipun berbagai faktor risiko masih tetap perlu diwaspadai."
1,Buletin Ekonomi Moneter dan Perbankan,11,"Perkembangan Moneter, Perbankan Dan Sistem Pembayaran Triwulan II  2004 ","Selama triwulan II-2004 perkembangan indikator-indikator ekonomi makro masih sejalan dengan prakiraan di awal tahun. Hal ini antara lain ditunjukkan dari pertumbuhan PDB yang sesuai dengan prakiraan, pertumbuhan ekspor yang lebih baik dibandingkan triwulan sebelumnya, serta perkembangan besaran moneter dan fiskal yang relatif terkendali. Namun demikian, peningkatan inflasi dan gejolak nilai tukar rupiah yang terjadi dalam periode laporan perlu diwaspadai dengan seksama. Dalam kondisi yang demikian, upaya mempertahankan stabilitas ekonomi makro menjadi penting untuk dilakukan dan diperkuat. Terkait dengan hal tersebut, Bank Indonesia telah menerapkan Paket Kebijakan Stabilisasi nilai tukar dan kebijakan moneter yang cenderung ketat. Paket kebijakan tersebut dipandang telah cukup efektif untuk menyerap kelebihan likuiditas di sistem perbankan sehingga dapat mengurangi potensi penggunaan dana yang dapat mengganggu kestabilan nilai tukar rupiah lebih lanjut."
2,Journal of Mathematical and Fundamental Sciences,69,Kajian Biodegradasi Limbah Cair Industri Biodiesel pada Kondisi Anaerob dan Aerob ,"Penelitian ini bertujuan untuk menangani limbah yang terjadi dari industri biodiesel. Air limbah yang dihasilkan dari industri biodiesel diperkirakan memiliki kandungan organik yang cukup tinggi. dengan demikian perlu dipertimbangkan untuk mengolahnya dengan proses anaerob, sehingga berpotensi untuk mendapatkan produk samping berupa biogas (gas metana). Namun demikian, proses aerob sebagai kelanjutan degradasi secara anaerob harus pula ditinjau, karena masih adanya kandungan organik yang tersisa setelah proses anaerob. Hasil penelitian menunjukkan bahwa efisiensi proses anaerob masih kecil yang ditunjukkan oleh hasil uji Biochemical Methane Potential (BMP) yang hanya sekitar 30%, akan tetapi dari uji Anaerobic Toxicity Assay (ATA) tampak bahwa limbah cair tidak menghambat pertumbuhan mikroorganisme metanogen. Kinerja proses aerob juga belum menunjukkan hasil yang maksimal, karena efisiensi biodegradasi baru sekitar 75-80%. Hal ini karena proses aerob seharusnya ditujukan untuk mengolah lebih lanjut efluen proses anaerob."
2,Journal of Mathematical and Fundamental Sciences,75,Analisa Gempa dalam C050296F untuk Penyelidikan Kecepatan Gelombang S di Bawah Plato Ontong-Jawa ,"Seismogram gempa bumi dalam C050296F telah dianalisa pada berbagai stasiun di sekitarnya, yaitu HNR, MSVF, CTAO dan SNZO untuk menyelidiki struktur kecepatan gelombang S di bawah Plato Ontong-Jawa (POJ) di Equator Pasifik Barat. Seismogram sintetik dihitung dengan metoda GEMINI, yang input awalnya adalah model bumi PREMAN, solusi CMT gempa dan koordinat stasiun observasi. Fase-fase gelombang S, Love dan Rayleigh, dan gelombang dalam ScS, ScS2 dan fase-fase dalam yang dipantulkan oleh permukaan bumi digunakan dalam penelitian ini. Perbandingan seismogram antara seismogram terukur dan sintetiknya menunjukkan diskrepansi yang berbeda-beda untuk beragam arah azimuth dari hiposenter. Di daerah POJ ke tenggara anomali bernilai negatif, sama dengan hasil riset seismologi sebelumnya di daerah yang sama. Ke arah stasiun MSVF daerah POJ memiliki anomali positif, berbeda dengan hasil riset seismologi sebelumnya. Anomali terjadi tidak hanya di mantel atas, tetapi juga pada lapisan-lapisan di bawahnya hingga CMB."
2,Journal of Mathematical and Fundamental Sciences,76,Pengukuran Parameter Seismik dan Difraksi Sinar-X (XRD) pada Batuan Karbonat Formasi Parigi ,"Substitusi fluida merupakan bagian dari studi seismik untuk memodelkan dan menghitung berbagai macam skenario substitusi fluida yang memberi petunjuk pada pengamatan respon AVO (Amplitude Variation with Offset) dan data seismik post stack. Substitusi fluida melibatkan persamaan Gassmann yang akan mengestimasi efek fluida terhadap parameter modulus bulk. Prediksi parameter modulus bulk ini dapat dipakai untuk mencari keberadaan hidrokarbon.Eksperimen dilakukan terhadap beberapa sampel core batuan karbonat formasi Parigi di daerah Cirebon. Batuan karbonat yang diprediksi berkategori reef dengan kandungan mineral Calcite yang dominan. Kemudian diukur di dalam laboratorium seismik batuan tekanan tinggi dengan variasi tekanan berupa overburden dan pore pressure. Pengamatan dilakukan saat fluida berupa air disubstitusikan ke dalam batuan serta mengamati efek fluida yang terjadi ketika variasi tekanan diberikan. Pengaruh dari kehadiran fluida ini akan digunakan untuk menjelaskan efek substitusi fluida pada batuan karbonat.Kenaikan atau bertambahnya kecepatan gelombang-P ini berbanding lurus dengan modulus bulk dari fluida pengisi pori, sedangkan kecepatan gelombang-S cenderung menurun dengan kehadiran fluida. Hal ini menyatakan bahwa asumsi Gassmann tidak berlaku untuk batuan karbonat."
4,Jurnal Ilmu Sosial dan Ilmu Politik,82,Security Complex Indonesia-Australia dan Pengaruhnya terhadap Dinamika Hubungan Kedua Negara ,"Penelitian ini bertujuan untuk menemukan karakter security complex atau the pattern of amity andenmity antara Indonesia dan Australia. Secara garis besar aspek amity (kerjasama) antara kedua negara jauh lebih dominan dari pada aspek enmity-nya (permusuhan). Metode utama yang digunakan untuk menganalisis ada tidaknya hubungan kausalitas antara independent variable dandependent variable yaitu metode interpretive analytic dengan logika berpikir inductive. Pelajaran yang dapat diambil yaitu; pertama, kita tidak bisa bertindak berdasarkan harapan bahwa pihak lain akan berbuat baik pada kita. Kedua, seharusnya sejak awal kita memfokuskan diplomasikita untuk mencegah agar Australia tidak melakukan tindakan yang merugikan Indonesia. Ketiga, kita harus memahami bangsa dan negara tersebut di segala aspeknya, khususnya dinamika politik domestiknya secara lebih dalam dan lebih kritis lagi"
4,Jurnal Ilmu Sosial dan Ilmu Politik,86,Kampanye Kreatif dalam Kontestasi Presidensial 2014 ,"Artikel ini menjelaskan tentang kemunculan model kampanye kreatif dalam kontestasi presidensial 2014, yang lebih mengedepankan unsur kreativitas dan seni. Adapun bentuk-bentuk kampanye kreatif seperti video, musik, aplikasi game dan desain visual yang didukung oleh kemajuan teknologi informasi, telah mampu melakukan transformasi dari model kampanye konvensional menuju kampanye modern. Kemunculan kampanye kreatif dapat menjadi saluran komunikasi politik yang efektif guna membangun budaya partisipatoris. Selain itu, kampanye kreatif sangat positif dalam mendorong perubahan perilaku politik kewargaan yang kemudian melahirkan politik kegembiraan."
4,Jurnal Ilmu Sosial dan Ilmu Politik,91,Meneropong Kominda dari Perspektif Desentralisasi: Sebuah Diskusi tentang Posisi Intel en Daerah dalam Logika Desentralisasi ,"Tulisan ini berisi diskusi konseptual mengenai posisi Komunitas Intelen Daerah (Kominda) dalam kerangka desentralisasi di Indonesia. Sebagai instrumen pendukung kerja pemda,Kominda berkontribusi membantu mewujudkan pemerintahan yang kondusif. Meski demikian, Kominda belum menjawab tuntutan desentralisasi agar pemda bisa mewujudkan pemerintahan yang demokratis. Perlu pemahaman yang lebih mendalam mengenai paradigma baru sektor keamanan, bahwa kehidupan demokratis dan kebebasan berpendapat merupakan aspek yang harus ditunjang oleh pemerintah, termasuk lembaga keamanan yang mendukungnya."
5,Jurnal Perencanaan Wilayah dan Kota,99,Dimensi Ruang dan Sosial Dalam Industrialisasi Pada Pembangunan Jangka Panjang Indonesia Tahap Kedua ,Dinamika ekonomi global dan proses industrialisasi di ASEAN dan Indonesia pada khususnya telah membawa dampak transformasi struktur sosial dan ekonomi. yang pada gilirannya juga sangat mempengaruhi pada slrukiur tata ruang. Hal tersebut perlu dilihat sebagai suaiu dimensi (issue) dalam perencanaan pengembangan wilayah dan kota di Indonesia.
