JOURNAL_ID,JOURNAL_TITLE,ARTICLE_ID,ARTICLE_TITLE,ARTICLE_ABSTRACT
1,"""JASc"" JOURNAL AGRIBUSINESS SCIENCES",1,Analisis Pengambilan Keputusan Pembelian Petani dalam Memilih Benih Kelapa Sawit Bersertifikat dan Non Bersertifikat di Kabupaten Labuhan Batu Utara ,"Penelitian ini bertujuan untuk mengidentifikasi karakteristik petani, menganalisis tahapan proses pengambilan keputusan pembelian petani dalam memilih benih bersertifikat dan non sertifikat, dan menganalisis faktor-faktor yang mempengaruhi proses pengambilan keputusan pembelian petani dalam memilih benih kelapa sawit bersertifikat dan non sertifikat di Kabupaten Labuhan Batu Utara. Penelitian ini dianalisis dengan bantuan 100 responden. Metode yang digunakan dalam penelitian ini adalah analisis deskriptif dan regresi logistik. Hasil dari analisis faktor membentuk 3 faktor yang mempengaruhi, yaitu faktor pendidikan, faktor ketahanan terhadap hama, dan penyakit dan faktor harga."
1,"""JASc"" JOURNAL AGRIBUSINESS SCIENCES",2,Analisis Tataniaga Ikan Bandeng di Kecamatan Samudera Kabupaten Aceh Utara ,Ikan Bandenga adalah salah satu Makanan........
1,"""JASc"" JOURNAL AGRIBUSINESS SCIENCES",3,Model Peningkatan Daya Saing Petani Dengan Pendekatan Koperasi Agribisnis di Kota Medan ,"Potensi pertanian di Kecamatan Marelan meskipun dalam skala usaha kecil yang dikelola oleh rumahtangga petani, perlu untuk dikembangkan. Apabila petani memiliki daya saing tinggi maka tingkat pendapatan petani akan meningkat. Sehingga diperlukan sebuah wadah yang mendorong petani untuk lebih meningkatkan produktifitasnya dalam rangka menghasilkan produk yang memiliki daya saing. Disamping itu perlu adanya jaminan pasar yang memberikan tingkat harga menguntungkan bagi petani. Koperasi merupakan salah satu alternatif dalam menyikapi lemahnya akses petani pada berbagai sumberdaya produktif, yaitu modal, teknologi dan informasi pasar.Penelitian ditujukan untuk merumuskan model peningkatan daya saing petani dengan pendekatan koperasi agribisnis. Sampel penelitian adalah petani sayur mayur di Kecamatan Medan Marelan yang diambil secara purposive sampling. Data yang diperoleh diolah dengan menggunakan analisis deskriptif, analisis SWOT dan analisis The House Model. Model peningkatan daya saing petani sayur dapat dilaksanakan dengan memperhatikan aspek faktor internal dan eksternal yang selanjutnya dapat ditetapkan sebuah visi dalam peningkatan daya saing petani yaitu; Dengan Koperasi Agribisnis Petani Produktif dan Berdaya Saing. Adapun aspek yang perlu dilaksanakan untuk mewujudkan visi tersebut adalah aspek komoditi sayur petani, aspek kelembagaan dan aspek komunitas."
1,"""JASc"" JOURNAL AGRIBUSINESS SCIENCES",4,Kontribusi Pendapatan Pengupas Bawang Merah Terhadap  Pendapatan Keluarga ,"Penelitian ini bertujuan untuk mengetahui seberapa besar kontribusi pendapatan pengupas bawang merah terhadap pendapatan keluarga.Teknik pengambilan Sampel dalam penelitian ini menggunakan Simple Random Sampling. Dengan total populasi124 orangdiambil sampel penelitian ini sebanyak 25 orang. Adapun metode analisis data yang digunakan dalam penelitian ini adalah dengan menggunakan analisis deskriptif.Hasil penelitian menunjukkan kontribusi pendapatan pengupas bawang merah sebesar 9,55 %, yang berarti bahwa pendapatan pengupas bawang merah masih tergolong rendah terhadap pendapatan keluarga."
1,"""JASc"" JOURNAL AGRIBUSINESS SCIENCES",5,Leafpay Bettel Toba ,"Saat ini tanaman tomat di Indonesia khususnya di Provinsi Sumatera Utara sangat banyak di minati oleh para petani. Rata-rata produksi tomat di Sumatera Utara pada tahun 2016 mencapai sebanyak 99.883 ton. Pada tahun 2017 terjadi penuruan produksi sebanyak 2.525 ton yaitu 97.358 di sebabakan adanya serangan hama kutu kebul (Bemicia tabaci) dan penyakit layu bakteri (Rastolnia solanacearum) (Badan Pusat Statistik dan Direktorat Jendral Hortikukultura). Serangan hama kutu kebul dan penyakit layu bakteri menyebabkan para petani melakukan pengendalian hama dan pencegahan penyakit layu bakteri dengan menggunakan pestisida berbahan kimia yang menimbulkan resiko terhadap konsumen tomat jika mengkonsumsi tanaman tomat yang sudah mengandung bahan kimia karena efek dari penggunaan pestida berbahan kimia tersebut,Dengan banyaknya keluhan yang di resahkan oleh para petani maka timbulah inisiatif untuk menciptakan sebuah produk berbahan alami (organik) yang berfungsi sebagai pengedali hama kutu kebul dan mencegah timbulnya penyakit layu bakteri serta aman bagi para konsumen tomat."
2,'ADALAH,6,Menentang Gagasan Parlemen Anti-kritik ,"Gagasan Founding Father kita, Soekarno mengenai Pancasila yang dikenal saat ini sejatinya memiliki tujuan khusus, yang sudah sepatutnya dipahami ketika negara Indonesia mengalami kehilangan arah seperti saat ini. Pintu demokrasi yang terbuka lebar secara langsung memberikan ruang tingkat partisipasi yang tinggi dalam penyelenggaraan negara ternyata tidak mencerminkan kemanusiaan yang beradab. Konflik horizontal yang semakin menunjukkan tidak adanya persatuan, dan demokrasi hanya dianggap sebagai tujuan negara telah menjatuhkan Pancasila dari realitas kebangsaan dan kenegaraan. "
2,'ADALAH,7,Kecenderungan Berperilaku Koruptif Pejabat Negara ,"Partai politik (parpol) adalah suatu organisasi yang dijadikan ken-daraan politik agar dapat mengusung calonnya ke kursi pemerintahan. Jadi, seseorang yang ingin menjadi pejabat pemerintahan harus masuk terlebih dahulu ke partai politik (parpol), bukan dengan jalur independen. Independen terjadi apabila seseorang tidak memiliki kendaraan partai politik manapun. Seseorang yang ingin menjadi pejabat pemerintahan harus melewati pesta demokrasi yang biasa disebut pemilihan umum yaitu suatu proses memilih orang untuk mengisi jabatan tertentu."
2,'ADALAH,8,Sikap Bijak Generasi Penerus Menghadapi Krisis Kepemimpinan Dalam Pemilu ,"Mewujudkan pelaksanaan kedaulatan rakyat salah satunya diberikan sarana yaitu Pemilihan Umum (Pemilu). Penyelenggaraan Pemilu diatur dalam UU No.15 Tahun 2011, bahwasanya Pasal 1 angka 1 berbunyi Pemilihan Umum adalah sarana pelaksanaan kedaulatan rakyat yang diselenggarakan secara langsung, umum, bebas, rahasia, jujur, dan adil dalam Negara Kesatuan Republik Indonesia berdasarkan Pancasila dan Undang-Undang Dasar Negara Republik Indonesia Tahun 1945."
2,'ADALAH,9,Pengakuan Hak Minoritas Sebagai Perwujudan Demokrasi di Indonesia ,"Berbicara hak minoritas tentu berbicara kewajiban yang harus dipenuhi oleh kaum mayoritas. Keberadaan kaum minoritas merupakan pengakuan akan harkat dan martabat manusia yang hidup dalam komunitasnya dengan kebudayaannya yang unik. Hak minoritas ini sebagai situasi dimana hak-hak kaum lebih kecil yang seharusnya menjadi perhatian serius untuk dilindungi oleh kaum mayoritas. Namun sering kali kaum minoritas ini diperlakukan secara diskriminatif dan diperlakukan tidak sederajat dalam kehidupan bermasyarakat. Karena mereka merasakan adanya tindakan diskriminatif seperti pembatasan pada bidang ekonomi, politik, dan kesempatan sosial lainnya."
2,'ADALAH,10,Partisipasi Politik Perempuan Dalam Perkembangan Demokrasi ,"Demokrasi adalah bentuk pemerintahan yang semua warga negaranya memiliki hak setara dalam pengambilan keputusan yang dapat mengubah hidup mereka. Demokrasi mencakup kondisi sosial, ekonomi, dan budaya yang memungkinkan adanya praktik kebebasan politik secara bebas dan setara. Seperti yang diketahui, demokrasi seolah berteman baik dengan budaya politik. Demokrasi tidak akan berjalan apabila tidak ditunjang oleh terbangunnya budaya politik yang sesuai dengan prinsip-prinsipnya. Ia berjalan berirama, dan tak dapat lepas satu sama lainnya."
